User ID,User Name,User Email,User Age,Weekly Shopping Budget,Dietary Preferences
1,Rebecca Rodriguez,rebecca.rodriguez@yahoo.com,60,57,No restrictions
2,Richard Richmond,richard.richmond@hotmail.com,53,77,No restrictions
3,Tamara Morris,tamara.morris@mylambton.ca,19,43,Egg Allergy
4,Emily Rodgers,emily.rodgers@mylambton.ca,42,113,Vegetarian
5,Tony Ray,tony.ray@hotmail.com,39,149,No restrictions
6,Victor Gray,victor.gray@mylambton.ca,49,127,Egg Allergy
7,Samuel Lopez,samuel.lopez@hotmail.com,35,102,No restrictions
8,Chris Andrews,chris.andrews@yahoo.com,58,53,Vegetarian
9,Edward Harvey,edward.harvey@yahoo.com,51,68,Halal
10,Colton Gallagher,colton.gallagher@gmail.com,56,67,No restrictions
11,Antonio Ball,antonio.ball@hotmail.com,67,73,No restrictions
12,Melissa Collins,melissa.collins@yahoo.com,57,76,No restrictions
13,Melissa Hogan,melissa.hogan@yahoo.com,49,138,No restrictions
14,Ryan Johnson,ryan.johnson@mylambton.ca,29,94,Halal
15,Anita Oconnell,anita.oconnell@mylambton.ca,70,63,No restrictions
16,Jonathan Rogers,jonathan.rogers@yahoo.com,28,95,No restrictions
17,Kelly Johnson,kelly.johnson@yahoo.com,25,97,No restrictions
18,James Roth,james.roth@gmail.com,68,83,No restrictions
19,Timothy Mitchell,timothy.mitchell@yahoo.com,32,124,No restrictions
20,Cynthia Austin,cynthia.austin@hotmail.com,29,100,No restrictions
21,Darius Powers,darius.powers@hotmail.com,40,137,Egg Allergy
22,Deborah Blair,deborah.blair@yahoo.com,32,106,No restrictions
23,Barbara Robinson,barbara.robinson@gmail.com,24,95,No restrictions
24,Jenna Schmidt,jenna.schmidt@yahoo.com,69,56,No restrictions
25,Brian Hudson,brian.hudson@hotmail.com,64,87,No restrictions
26,Lauren Simpson,lauren.simpson@hotmail.com,70,54,No restrictions
27,Robert Bishop,robert.bishop@hotmail.com,50,115,No restrictions
28,Marcus Brown,marcus.brown@yahoo.com,24,86,No restrictions
29,Mary Adams,mary.adams@yahoo.com,44,105,No restrictions
30,Sarah Harrell,sarah.harrell@gmail.com,33,135,No restrictions
31,Scott Odonnell,scott.odonnell@hotmail.com,57,66,No restrictions
32,Teresa Holmes,teresa.holmes@hotmail.com,40,121,No restrictions
33,Sarah Chan,sarah.chan@hotmail.com,27,99,No restrictions
34,Matthew Spencer,matthew.spencer@yahoo.com,19,45,No restrictions
35,Randy Dunlap,randy.dunlap@yahoo.com,39,137,No restrictions
36,Ashley Ali,ashley.ali@yahoo.com,42,128,No restrictions
37,Heather Allen,heather.allen@gmail.com,38,113,No restrictions
