User ID,Delivery Address,Delivery Frequency,Preferred Delivery Day,Latitude,Longitude,City
1,"2940 Holt Burgs, Sarnia, ON",3,"Sunday, Thursday, Saturday",42.9745,-82.4066,Sarnia
2,"6160 Ian Alley, Clarence-Rockland, ON",5,"Monday, Thursday, Tuesday, Sunday, Wednesday",45.5887,-75.5127,Clarence-Rockland
3,"28788 Black Grove, Chatham, ON",4,"Friday, Monday, Tuesday, Thursday",42.4254,-82.1892,Chatham
4,"673 Barnes Wall, Greater Sudbury, ON",6,"Friday, Wednesday, Sunday, Monday, Tuesday, Saturday",46.49,-80.99,Greater Sudbury
5,"2389 Wallace Neck, London, ON",5,"Thursday, Tuesday, Saturday, Sunday, Monday",42.9849,-81.2453,London
6,"8242 Miller Mission, Timmins, ON",6,"Tuesday, Friday, Sunday, Thursday, Saturday, Monday",48.4758,-81.3305,Timmins
7,"7194 Mcdaniel View, St. Thomas, ON",5,"Sunday, Friday, Thursday, Tuesday, Monday",42.777,-81.1826,St. Thomas
8,"176 Smith Vista, Leamington, ON",2,"Saturday, Friday",42.0501,-82.606,Leamington
9,"53103 Sullivan Light, Markham, ON",4,"Sunday, Friday, Saturday, Monday",43.8561,-79.337,Markham
10,"27245 Amanda Vista, St. Thomas, ON",6,"Friday, Thursday, Sunday, Wednesday, Monday, Tuesday",42.777,-81.1826,St. Thomas
11,"167 Mcgrath Glen, Richmond Hill, ON",2,"Monday, Tuesday",43.8828,-79.4407,Richmond Hill
12,"9338 Audrey Turnpike, Kawartha Lakes, ON",1,Wednesday,44.4254,-78.7877,Kawartha Lakes
13,"02491 Daniels Inlet, Prince Edward County, ON",3,"Friday, Sunday, Saturday",43.9991,-77.124,Prince Edward County
14,"38319 Bartlett Springs, London, ON",3,"Wednesday, Sunday, Monday",42.9849,-81.2453,London
15,"6703 Melissa Expressway, Port Colborne, ON",6,"Tuesday, Friday, Thursday, Monday, Wednesday, Sunday",42.883,-79.232,Port Colborne
16,"2324 Miller Mall, Sault Ste. Marie, ON",1,Sunday,46.5208,-84.3469,Sault Ste. Marie
17,"870 Megan Extension, Sault Ste. Marie, ON",6,"Thursday, Sunday, Tuesday, Wednesday, Monday, Friday",46.5208,-84.3469,Sault Ste. Marie
18,"6521 White Streets, Barrie, ON",5,"Thursday, Sunday, Friday, Wednesday, Tuesday",44.3894,-79.6903,Barrie
19,"61246 Joseph Camp, Sault Ste. Marie, ON",5,"Tuesday, Friday, Wednesday, Monday, Thursday",46.5208,-84.3469,Sault Ste. Marie
20,"668 Jonathan Ferry, North Bay, ON",4,"Friday, Saturday, Tuesday, Wednesday",46.3098,-79.46,North Bay
21,"420 Victor Trail, St. Thomas, ON",3,"Wednesday, Friday, Saturday",42.777,-81.1826,St. Thomas
22,"2874 Sherry Mount, Ottawa, ON",5,"Wednesday, Monday, Saturday, Thursday, Tuesday",45.4215,-75.6993,Ottawa
23,"205 William Village, Chatham, ON",1,Tuesday,42.4254,-82.1892,Chatham
24,"424 Harris Station, Mississauga, ON",5,"Friday, Saturday, Tuesday, Sunday, Monday",43.589,-79.6441,Mississauga
25,"00055 Daniel Valley, Chatham, ON",4,"Wednesday, Tuesday, Thursday, Monday",42.4254,-82.1892,Chatham
26,"847 Wendy Curve, Ottawa, ON",4,"Friday, Thursday, Sunday, Wednesday",45.4215,-75.6993,Ottawa
27,"17762 Li Station, Port Colborne, ON",4,"Friday, Tuesday, Thursday, Sunday",42.883,-79.232,Port Colborne
28,"84714 Moss Branch, St. Thomas, ON",4,"Tuesday, Saturday, Thursday, Sunday",42.777,-81.1826,St. Thomas
29,"949 Morris Freeway, Woodstock, ON",4,"Tuesday, Wednesday, Friday, Thursday",43.1312,-80.7565,Woodstock
30,"0715 Ashley Harbor, Ottawa, ON",2,"Tuesday, Saturday",45.4215,-75.6993,Ottawa
31,"5307 Griffith Trail, Greater Sudbury, ON",5,"Tuesday, Friday, Thursday, Monday, Sunday",46.49,-80.99,Greater Sudbury
32,"3053 Gonzalez Light, Guelph, ON",2,"Thursday, Friday",43.5448,-80.2482,Guelph
33,"931 Patrick Island, Cornwall, ON",2,"Thursday, Monday",45.0185,-74.7397,Cornwall
34,"89665 Hardy Streets, Barrie, ON",2,"Wednesday, Monday",44.3894,-79.6903,Barrie
35,"39159 Kim Ferry, Prince Edward County, ON",2,"Thursday, Wednesday",43.9991,-77.124,Prince Edward County
36,"776 Fox Bridge, St. Catharines, ON",3,"Friday, Thursday, Tuesday",43.1594,-79.2469,St. Catharines
37,"98983 Hopkins Haven, North Bay, ON",2,"Friday, Tuesday",46.3098,-79.46,North Bay
38,"50851 Miller Ridges, Haldimand County, ON",6,"Friday, Saturday, Wednesday, Tuesday, Monday, Sunday",42.9229,-79.8663,Haldimand County
39,"2888 Taylor Pike, Timmins, ON",2,"Monday, Sunday",48.4758,-81.3305,Timmins
40,"670 Morrison Pike, Thorold, ON",5,"Sunday, Saturday, Tuesday, Wednesday, Monday",43.1167,-79.2,Thorold
41,"425 Dawn Village, Timmins, ON",5,"Thursday, Wednesday, Saturday, Friday, Tuesday",48.4758,-81.3305,Timmins
42,"95003 Morris Gateway, Kitchener, ON",5,"Thursday, Saturday, Monday, Wednesday, Friday",43.4504,-80.4825,Kitchener
43,"48868 Brent Place, Brant, ON",2,"Friday, Saturday",43.142,-80.2681,Brant
44,"49237 Stanley Springs, Cambridge, ON",4,"Saturday, Tuesday, Sunday, Wednesday",43.3601,-80.3127,Cambridge
45,"22261 Baxter Knoll, Kitchener, ON",3,"Sunday, Saturday, Thursday",43.4504,-80.4825,Kitchener
46,"191 Veronica Keys, Guelph, ON",5,"Sunday, Tuesday, Saturday, Wednesday, Friday",43.5448,-80.2482,Guelph
47,"3470 Briggs Station, Greater Sudbury, ON",1,Friday,46.49,-80.99,Greater Sudbury
48,"66473 Brian Crescent, Thunder Bay, ON",4,"Friday, Sunday, Saturday, Thursday",48.382,-89.2466,Thunder Bay
